73|5760.0|-6600.0|1|33
29|4384.0|-6776.0|1|100029
115|7616.0|-4992.0|1|100115
303|14536.0|-4928.0|0|100303
2222|13520.0|-4768.0|1|199
821|3904.0|-4992.0|1|100821
933|5824.0|-4840.0|1|100933
927|6048.0|-4912.0|1|231
928|6048.0|-4976.0|1|231
929|6048.0|-5040.0|1|231
1104|4352.0|-3344.0|1|101104
1129|3952.0|-5856.0|1|101129
1372|8296.0|-7392.0|1|101372
1701|9936.0|-4992.0|1|32
1719|8768.0|-4992.0|1|101719
806|3776.0|-3920.0|1|233
843|3816.0|-4144.0|1|233
846|3776.0|-4144.0|1|233
851|3776.0|-3960.0|1|233
902|3816.0|-4368.0|1|233
903|3776.0|-4368.0|1|233
847|3776.0|-4032.0|1|234
848|3776.0|-4072.0|1|234
891|3776.0|-3848.0|1|234
892|3776.0|-3808.0|1|234
900|3776.0|-4256.0|1|234
901|3816.0|-4256.0|1|234
908|3816.0|-4480.0|1|234
909|3776.0|-4480.0|1|234
