0|130|0|XA04TEX|EV003080|0|5984.0|-8064.0|-280.0|1|0|0|256.0|192.0|4|3|0
1|296|2|XA01TEX|EV003081|12|6240.0|-7992.0|-280.0|-0.9363291775690445|-0.3511234415883917|0|205.05608988762074|16.0|4|1|0
1|369|2|XA01TEX|EV003082|16|5984.0|-7872.0|-280.0|0.9921397562025528|-0.1251347440255472|0|223.75879870968203|16.0|4|1|0
0|137|0|XA04TEX|EV003083|20|6424.0|-8032.0|-280.0|1|0|0|232.0|160.0|4|3|0
1|431|2|XA01TEX|EV003084|32|6464.0|-7896.0|-280.0|0.9889363528682975|0.14834045293024462|0|161.78998732925348|16.0|3|1|0
1|12475|2|XA01TEX|EV003085|35|6656.0|-8032.0|-280.0|-0.9847835588179369|0.17378533390904768|0|138.10141201305655|16.0|3|1|0
1|12509|2|XA01TEX|EV003086|38|6520.0|-8008.0|-280.0|-0.9828721869343219|0.18428853505018536|0|97.67292357659824|16.0|2|1|0
0|1362|0|XA04TEX|EV003087|40|6520.0|-8008.0|-280.0|1|0|0|80.0|80.0|2|2|0
0|1363|0|XA04TEX|EV003088|44|6528.0|-8000.0|-280.0|1|0|0|64.0|64.0|1|1|0
0|1368|0|XA04TEX|EV003089|45|6072.0|-8008.0|-280.0|1|0|0|80.0|80.0|2|2|0
0|1369|0|XA04TEX|EV003090|49|6080.0|-8000.0|-280.0|1|0|0|64.0|64.0|1|1|0
