90|4416.0|-416.0|0|67
4844|5704.0|-1208.0|1|95
287|2224.0|-1036.0|1|32
5012|4576.0|1820.0|1|32
471|4344.0|-1744.0|0|39
472|4344.0|-1768.0|0|39
473|4344.0|-1792.0|0|39
474|4344.0|-1816.0|0|39
475|4344.0|-1840.0|0|39
502|3824.0|-2264.0|0|39
503|3848.0|-2264.0|0|39
504|3872.0|-2264.0|0|39
505|3896.0|-2264.0|0|39
506|3920.0|-2264.0|0|39
718|1664.0|728.0|1|55
4856|6044.0|552.0|0|46
4858|6116.0|552.0|0|46
4860|6092.0|552.0|0|46
4862|6068.0|552.0|0|46
1109|2248.0|-4928.0|1|15
1113|3936.0|3640.0|0|18
1102|3584.0|-6056.0|0|23
1647|7296.0|-2328.0|1|6
697|5840.0|-1144.0|0|199
698|5864.0|-1144.0|0|199
699|5888.0|-1144.0|0|199
700|5912.0|-1144.0|0|199
701|5936.0|-1144.0|0|199
188|3024.0|-1248.0|0|20
189|2992.0|-1248.0|0|20
190|2960.0|-1248.0|0|20
191|2928.0|-1248.0|0|20
192|2896.0|-1248.0|0|20
193|3248.0|-1248.0|0|20
194|3280.0|-1248.0|0|20
195|3312.0|-1248.0|0|20
196|3344.0|-1248.0|0|20
197|3376.0|-1248.0|0|20
1903|2112.0|-3520.0|1|85
2933|6608.0|-3688.0|0|102933
3753|6280.0|3584.0|0|103753
3753|6280.0|3584.0|0|89
3916|4288.0|3952.0|1|96
4218|5520.0|5680.0|0|104218
1828|3936.0|3360.0|1|83
1848|3936.0|3488.0|1|83
