122|1040.0|-448.0|1|100122
113|1192.0|-448.0|1|100113
302|576.0|-912.0|1|42
306|112.0|-448.0|1|43
309|576.0|16.0|1|41
317|2496.0|400.0|1|100317
391|2624.0|-1296.0|1|100391
394|2224.0|-1536.0|1|100394
740|-4488.0|-288.0|1|100740
1591|576.0|-1360.0|1|101591
1594|576.0|-1792.0|1|26
1661|228.0|-1848.0|1|27
1662|228.0|-1832.0|1|27
1663|228.0|-1816.0|1|27
1664|228.0|-1800.0|1|27
1665|228.0|-1784.0|1|27
1666|228.0|-1768.0|1|27
1667|228.0|-1752.0|1|27
1668|228.0|-1736.0|1|27
1737|448.0|1808.0|1|101737
1861|448.0|2736.0|1|101861
1879|-912.0|3072.0|1|101879
1936|-2416.0|3072.0|1|101936
3353|5264.0|-2712.0|1|45
3362|4828.0|-2680.0|1|45
964|-396.0|-500.0|1|20
966|-396.0|-396.0|1|20
968|-396.0|-416.0|1|20
970|-396.0|-480.0|1|20
972|-396.0|-460.0|1|20
974|-396.0|-436.0|1|20
2033|-2624.0|3072.0|1|31
2407|4024.0|-552.0|1|37
2408|4024.0|-536.0|1|37
2409|4024.0|-520.0|1|37
2410|4024.0|-504.0|1|37
2411|4024.0|-488.0|1|37
2412|4024.0|-472.0|1|37
2413|4024.0|-456.0|1|37
2414|4024.0|-440.0|1|37
2415|4024.0|-424.0|1|37
2416|4024.0|-408.0|1|37
