UTNTSkyEdge_tnt02_4_0|4|0|1|6|6|832.0|384.0|1456.0|512.0|1144.1004720718606|447.51019864967924|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|73.0|0.0|14.85|rock|EV000001|SG000232|SG000233|99
UTNTSkyEdge_tnt02_5_0|5|0|1|7|7|576.0|64.0|832.0|384.0|704.3904344047215|223.68765247622278|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|47.0|0.0|20.099999999999998|rock|EV000007|SG000234|SG000235|100
UTNTSkyEdge_tnt02_6_0|6|0|1|8|8|448.0|-320.0|576.0|64.0|512.4743416490253|-128.1581138830084|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|26.0|0.0|22|rock|EV000010|SG000236|SG000237|101
UTNTSkyEdge_tnt02_7_0|7|0|2|9|10|-768.0|64.0|-576.0|-64.0|-672.2773500981126|-0.41602514716892186|-178.5|-192.0|-165.0|QROCK3|QROCK3X8|1.0|1.0|222.385770251|10.0|10.049999999999999|rock|EV000014|SG000238|SG000239|102
UTNTSkyEdge_tnt02_9_0|9|0|1|12|12|2048.0|448.0|2560.0|192.0|2303.77639320225|319.55278640450007|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|30.0|0.0|18.599999999999998|rock|EV000024|SG000240|SG000241|103
UTNTSkyEdge_tnt02_10_0|10|0|1|13|13|1792.0|512.0|2048.0|448.0|1919.8787321874818|479.5149287499273|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|22.0|0.0|14.85|rock|EV000027|SG000242|SG000243|104
UTNTSkyEdge_tnt02_28_0|28|0|1|17|17|256.0|-448.0|448.0|-320.0|352.2773500981126|-384.4160251471689|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|51.0|0.0|22|rock|EV000060|SG000244|SG000245|105
UTNTSkyEdge_tnt02_30_0|30|0|1|19|19|-320.0|-320.0|-64.0|-448.0|-192.22360679774997|-384.44721359549993|-128.0|-128.0|-128.0|QROCK3|QROCK3X8|1.0|1.0|47.0|0.0|16.349999999999998|rock|EV000072|SG000246|SG000247|106
UTNTSkyEdge_tnt02_31_0|31|0|2|20|21|-576.0|-64.0|-320.0|-320.0|-448.3535533905933|-192.35355339059328|-127.0|-127.0|-127.0|QROCK3|QROCK3X8|1.0|1.0|69.0|-1.0|16.425|rock|EV000077|SG000248|SG000249|107
UTNTSkyEdge_tnt02_32_0|32|0|2|9|22|-960.0|0.0|-768.0|64.0|-863.8418861169915|31.525658350974744|-192.0|-192.0|-192.0|QROCK3|QROCK3X8|1.0|1.0|20.0|64.0|10.049999999999999|rock|EV000016|SG000238|SG000250|102
UTNTSkyEdge_tnt02_33_0|33|0|2|23|24|-1080.0|-152.0|-960.0|0.0|-1019.6075586172333|-76.30982214428951|-176.8|-161.6|-192.0|QROCK3|QROCK3X8|1.0|1.0|82.0|32.0|14.399999999999999|rock|EV000086|SG000251|SG000252|108
UTNTSkyEdge_tnt02_35_0|35|0|1|27|27|-1024.0|-768.0|-1088.0|-512.0|-1055.5149287499273|-639.8787321874819|-128.0|-128.0|-128.0|QROCK3|QROCK3X8|1.0|1.0|226.385770251|0.0|11.85|rock|EV000137|SG000253|SG000254|109
UTNTSkyEdge_tnt02_36_0|36|0|1|27|27|-832.0|-832.0|-1024.0|-768.0|-927.8418861169915|-799.5256583509747|-128.0|-128.0|-128.0|QROCK3|QROCK3X8|1.0|1.0|24.0|0.0|11.85|rock|EV000138|SG000253|SG000255|109
UTNTSkyEdge_tnt02_37_0|37|0|1|25|25|-640.0|-704.0|-832.0|-832.0|-736.2773500981126|-767.583974852831|-128.0|-128.0|-128.0|QROCK3|QROCK3X8|1.0|1.0|49.0|0.0|19.2|rock|EV000113|SG000256|SG000257|110
UTNTSkyEdge_tnt02_38_0|38|0|1|20|20|-448.0|-576.0|-640.0|-704.0|-544.2773500981126|-639.583974852831|-128.0|-128.0|-128.0|QROCK3|QROCK3X8|1.0|1.0|74.0|0.0|16.349999999999998|rock|EV000078|SG000248|SG000258|107
UTNTSkyEdge_tnt02_39_0|39|0|1|19|19|-256.0|-576.0|-448.0|-576.0|-352.0|-575.5|-128.0|-128.0|-128.0|QROCK3|QROCK3X8|1.0|1.0|10.0|0.0|16.349999999999998|rock|EV000073|SG000246|SG000259|106
UTNTSkyEdge_tnt02_41_0|41|0|1|17|17|448.0|-768.0|320.0|-768.0|384.0|-767.5|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|276.0|0.0|22|rock|EV000061|SG000244|SG000260|105
UTNTSkyEdge_tnt02_42_0|42|0|1|17|17|640.0|-768.0|448.0|-768.0|544.0|-767.5|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|84.0|0.0|22|rock|EV000062|SG000244|SG000261|105
UTNTSkyEdge_tnt02_43_0|43|0|1|28|28|832.0|-1024.0|640.0|-768.0|736.4|-895.7|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|659.548339959|0.0|22|rock|EV000139|SG000262|SG000263|111
UTNTSkyEdge_tnt02_44_0|44|0|1|28|28|1280.0|-1088.0|832.0|-1024.0|1056.0707106781188|-1055.5050252531694|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|207.0|0.0|22|rock|EV000140|SG000262|SG000264|111
UTNTSkyEdge_tnt02_45_0|45|0|1|28|28|1920.0|-1088.0|1872.0|-1088.0|1896.0|-1087.5|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|287.509667992|0.0|22|rock|EV000141|SG000262|SG000265|111
UTNTSkyEdge_tnt02_46_0|46|0|1|28|28|1984.0|-1024.0|1920.0|-1088.0|1951.6464466094067|-1055.6464466094067|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|197.0|0.0|22|rock|EV000142|SG000262|SG000266|111
UTNTSkyEdge_tnt02_47_0|47|0|1|29|29|2560.0|192.0|2816.0|0.0|2687.7|95.6|128.0|128.0|128.0|QROCK3|QROCK3X8|1.0|1.0|90.0|0.0|17.099999999999998|rock|EV000194|SG000267|SG000268|112
