29|769|1|4336.0|-6760.0|4432.0|-6760.0|20
33|160|0|4280.0|-6720.0|4248.0|-6720.0|23
54|160|1|4248.0|-6720.0|4280.0|-6720.0|23
86|173|0|7576.0|-5104.0|7576.0|-4880.0|23
87|1734|1|7600.0|-5112.0|7568.0|-5112.0|23
88|1749|0|7568.0|-4872.0|7568.0|-5104.0|23
89|250|0|7580.0|-4928.0|7584.0|-4928.0|23
90|206|0|7600.0|-5040.0|7608.0|-5056.0|23
93|2466|0|5696.0|-6560.0|5696.0|-6544.0|23
122|762|0|4400.0|-6592.0|4512.0|-6624.0|23
156|7308|0|7184.0|-6112.0|7216.0|-6080.0|23
211|276|0|7828.0|-6216.0|7832.0|-6224.0|140
278|7316|0|7344.0|-6560.0|7424.0|-6544.0|23
279|2774|0|7120.0|-5904.0|7120.0|-5936.0|23
283|246|0|6976.0|-6736.0|6976.0|-6744.0|140
508|7296|0|6880.0|-5984.0|6928.0|-6000.0|23
509|4602|0|7440.0|-5968.0|7456.0|-5920.0|23
593|202|0|4176.0|-6640.0|4128.0|-6672.0|23
609|182|1|4240.0|-6712.0|4240.0|-6720.0|23
621|1025|0|4304.0|-6760.0|4296.0|-6760.0|23
687|2840|0|4192.0|-6712.0|4240.0|-6744.0|23
689|286|1|4432.0|-6400.0|4384.0|-6352.0|23
693|1578|0|4512.0|-6624.0|4528.0|-6672.0|23
751|4707|0|7760.0|-4624.0|7584.0|-4752.0|23
752|4711|1|4144.0|-4432.0|4144.0|-4416.0|23
753|4874|0|3952.0|-3680.0|3984.0|-3504.0|23
754|4684|0|5536.0|-4768.0|5552.0|-4912.0|23
755|4752|0|6320.0|-3424.0|6560.0|-3360.0|23
758|4661|0|6080.0|-4784.0|6048.0|-4624.0|23
759|6923|0|5184.0|-6592.0|5184.0|-6584.0|23
760|6631|0|7392.0|-5056.0|7392.0|-5048.0|23
761|6924|1|4576.0|-6584.0|4576.0|-6592.0|23
762|4930|0|7584.0|-4752.0|7600.0|-4832.0|23
763|4691|0|6032.0|-4464.0|6032.0|-4344.0|23
764|4759|0|7808.0|-3920.0|7696.0|-4256.0|23
765|4988|0|4000.0|-5136.0|4000.0|-5120.0|23
