UTNTCavern_stalactite_a|5280|-4400|632.0|1164|0
UTNTCavern_stalactite_b|5160|-3790|632.0|1164|0
UTNTCavern_stalactite_c|7060|-4590|632.0|1166|0
UTNTCavern_stalactite_d|4590|-6340|632.0|1614|0
UTNTCavern_lavafall|5450|-4040|-860|1164|1
UTNTCavern_fall_cheek_a|5460|-4145|-865|1164|0
UTNTCavern_fall_cheek_b|5460|-3935|-865|1164|0
UTNTCavern_fall_lip|5450|-4040|-240|1164|0
UTNTCavern_wall_4712|4197.059644256269|-3583.1789327688084|-1006.0|1106|2
UTNTCavern_wall_4658|5463.058453615332|-4264.366418261543|-922.0|1164|2
UTNTCavern_wall_4705|5066.61861764803|-3591.0678705855175|-1006.5116279069767|1164|2
UTNTCavern_wall_4714|4119.9447321319185|-3902.67127232234|-966.0|1164|2
UTNTCavern_wall_4726|5418.351203003449|-3808.7983638705678|-957.578947368421|1164|2
UTNTCavern_wall_4758|4143.782302781315|-4093.369616203114|-942.0|1164|2
UTNTCavern_wall_4770|5271.938063591615|-3685.820462414375|-987.1764705882354|1164|2
UTNTCavern_wall_4776|5456.258081438402|-4453.1378329888|-902.271186440678|1164|2
UTNTCavern_wall_4832|4112.0|-3704.0|-990.0|1164|2
UTNTCavern_wall_4878|5394.687195290595|-4607.124796860397|-886.0|1164|2
UTNTCavern_wall_5233|4552.0|-3552.0|-1010.0|1164|2
UTNTCavern_wall_4657|6311.782302781315|-3997.369616203114|-1030.0|1166|2
UTNTCavern_wall_4690|7484.107293660045|-4629.296564294041|-870.0|1166|2
UTNTCavern_wall_4724|6386.852481643729|-3771.75685511404|-1078.0|1166|2
UTNTCavern_wall_4725|6887.5430436176175|-3655.993473383371|-1174.0|1166|2
UTNTCavern_wall_4793|7528.195792554735|-4410.495401175568|-877.2605042016806|1166|2
UTNTCavern_wall_4879|7239.7741734199735|-3813.27541348737|-1174.0|1166|2
UTNTCavern_wall_4919|6247.952871768025|-4566.772856017844|-894.0|1166|2
UTNTCavern_wall_4948|4247.959339197292|-5329.139952799806|-1137.1612903225807|1614|2
UTNTCavern_wall_4954|4256.0|-5120.0|-1082.0|1614|2
UTNTCavern_rim_4657|6307.836727085985|-3998.027212152336|-483.7894736842105|1166|3
UTNTCavern_foot_4657|6313.755090628979|-3997.0408182285037|-1460|1166|3
UTNTCavern_rim_4658|5467.043840211499|-4264.024813696157|-296.0|1164|3
UTNTCavern_foot_4658|5461.0657603172485|-4264.537220544235|-1460|1164|3
UTNTCavern_rim_4690|7487.080470245034|-4631.972423220531|-200.0|1166|3
UTNTCavern_foot_4690|7482.620705367551|-4627.958634830796|-1460|1166|3
UTNTCavern_rim_4705|5067.963963236022|-3587.3009029391383|-464.51162790697674|1164|3
UTNTCavern_foot_4705|5065.945944854033|-3592.951354408707|-1460|1164|3
UTNTCavern_rim_4712|4195.794733192202|-3579.384199576606|-467.61290322580646|1106|3
UTNTCavern_foot_4712|4197.6920997883035|-3585.076299364909|-1460|1106|3
